题号,名称,感想,一刷
704,binary search,需要在函数内进行循环，且分成左 中 右三个部分，左和右都是左闭右开,5/3/2024
27,remove element,双指针（但我O(2n)也是O(n)啊！）,5/3/2024
977,squares of a sorted array,双指针（看了解答再写的）,5/3/2024
209,minimum size subarray sum,滑动窗口（这题完全不会做,5/3/2024
59,spiral matrix II,没什么技巧，就是硬写，但是一定要注意开闭区间,5/4/2024
203,remove linked list elements,简单，注意用dummy head,5/4/2024
707,design linked list,一定要注意长度判断条件，细节很多,5/4/2024
206,reverse linked list,两个细节点，一定要画图考虑清楚，很容易死循环,5/4/2024
24,swap nodes in pairs,也是要注意细节，画图说明,5/4/2024
19,remove nth node from end of list,也是双指针法,5/5/2024
2.07,intersection of two linked lists LCCI,双指针。写得有一点冗余，其实cnt可以从0开始计数就会少一些事,5/5/2024
142,linked list cycle II,最讨巧的就是set()方法。另一个是快满指针法，要数学证明,5/5/2024
242,valid anagram,用defaultdict或者counter写的飞快,5/5/2024
349,intersection of two arrays,同上，defaultdict或者counter。最后一步要转化为list,5/5/2024
202,happy number,这题不会，抄的。其实不是数学题，sum会重复的,5/5/2024
1,two sum,这题注意审题，只要2个数。而且解答巧在用一个循环就判断完了,5/5/2024
454,4sum II,不会，抄的。实际上4组数两两分组，就和1一样了,5/5/2024
383,ransom note,用counter无敌简单,5/6/2024
15,3sum,不会，抄的，谁能想到用双指针啊。另一个dict方法看不懂,5/6/2024
18,4sum,应该用双指针，但我用dict逻辑就比较清晰（就是慢了,5/6/2024
344,reverse string,easy,5/6/2024
541,reverse string II,简单，但我菜，看错题了。注意Python中的翻转用法,5/6/2024
,替换数字,没写。注意两个点：python的string不可更改，需要额外空间；isdigit()和''.join(),5/6/2024
151,reverse words in a string,python的split和join无敌简单,5/6/2024
28,find the index of the first occurrence in a string,这题用find或者index非常容易，但是要学会KMP,
459,repeated substring pattern,这题还真没思路，看了解答发现如此简单(移动匹配+find),
232,implement queue using stacks,有一些写法上的小细节要注意。In和out甚至不需要来回倒，一直放在out里都可以,
252,implement stack using queues,用一个deque就可以解决,
20,valid parentheses,有小细节,
1047,Remove All Adjacent Duplicates In String,easy,
150,Evaulate Reverse Polish Notation,easy,8/19/2024
239,Sliding Window Maximum,自己写的O(n*k)过不了，要用双端队列,8/19/2024
347,Top K Frequent Elements,没玩过的最大最小堆；最大堆是每次弹出最大元素；最小堆是弹出最小元素,8/19/2024
144,Binary Tree Preorder Traversal ,就是背！,8/21/2024
94,Binary Tree Inorder Traversal,same as above,8/21/2024
145,Binary Tree Postorder Traversal,order: the middle node!,8/21/2024
102,Binary Tree Level Order Traversal,queue,8/21/2024
107,Binary Tree Level Order Traversal II,最后反转即可,8/21/2024
199,Binary Tree Right Side View,只要判断是不是右侧（size-1）即可,8/21/2024
637,Average of Levels in Binary Tree,,8/21/2024
429,N-ary Tree Level Order Traversal,,8/21/2024
102,Binary Tree Level Order Traversal,,8/22/2024
112,Path Sum,就是257,
113,Path Sum II,,
106,Construct Binary Tree from Inorder and Postorder Traversal,中序+后序,
